,filepath,tower
9170,raw/negative/276290_179488_19_2226_1.jpg,0
526,raw/negative/276094_176914_19_16584_1.jpg,0
13907,raw/negative/272308_174052_19_3816_1.jpg,0
7317,raw/negative/281138_175626_19_17037_1.jpg,0
14659,raw/positive/278101_178692_19_0_12693.jpg,1
3411,raw/negative/278420_177485_19_81_2.jpg,0
3010,raw/negative/274190_179918_19_23492_2.jpg,0
12019,raw/positive/280857_176440_19_0_11044.jpg,1
10804,raw/negative/274389_182700_19_5907_2.jpg,0
4923,raw/negative/276448_176043_19_18386_0.jpg,0
4317,raw/negative/278146_181217_19_17023_0.jpg,0
1431,raw/positive/279283_177331_19_0_5515.jpg,1
6380,raw/negative/278019_177958_19_4269_0.jpg,0
1132,raw/negative/280191_174277_19_3329_1.jpg,0
7188,raw/positive/278757_181763_19_0_15355.jpg,1
11744,raw/negative/275356_174995_19_3319_2.jpg,0
12084,raw/negative/271752_174879_19_14416_2.jpg,0
14743,raw/negative/272539_179201_19_24385_2.jpg,0
5124,raw/negative/278124_181628_19_4362_2.jpg,0
11123,raw/negative/272746_175043_19_9245_1.jpg,0
7949,raw/positive/276251_167799_19_0_3003.jpg,1
9578,raw/positive/273893_178754_19_0_8133.jpg,1
7220,raw/positive/273315_173520_19_0_13261.jpg,1
14829,raw/positive/273322_182494_19_0_2268.jpg,1
11443,raw/negative/271808_175441_19_16097_0.jpg,0
14690,raw/negative/274848_181964_19_1898_2.jpg,0
1698,raw/positive/273961_176981_19_0_21696.jpg,1
12349,raw/positive/272921_171918_19_0_1363.jpg,1
1783,raw/negative/283210_174441_19_17789_0.jpg,0
2708,raw/positive/272834_171777_19_0_1294.jpg,1
3944,raw/negative/275433_179976_19_7608_2.jpg,0
5899,raw/negative/274515_170302_19_4083_0.jpg,0
11873,raw/negative/275380_177580_19_22389_0.jpg,0
14645,raw/positive/279059_177399_19_0_10592.jpg,1
4596,raw/positive/274678_174511_19_0_18482.jpg,1
13808,raw/negative/277252_172443_19_12508_2.jpg,0
4147,raw/positive/272567_174594_19_0_11595.jpg,1
14460,raw/positive/273405_170189_19_0_11871.jpg,1
