,filepath,tower
9170,/home/tanuj/Workspace/power-grid-detection/dataset/raw/negative/276290_179488_19_2226_1.jpg,0
526,/home/tanuj/Workspace/power-grid-detection/dataset/raw/negative/276094_176914_19_16584_1.jpg,0
13907,/home/tanuj/Workspace/power-grid-detection/dataset/raw/negative/272308_174052_19_3816_1.jpg,0
7317,/home/tanuj/Workspace/power-grid-detection/dataset/raw/negative/281138_175626_19_17037_1.jpg,0
14659,/home/tanuj/Workspace/power-grid-detection/dataset/raw/positive/278101_178692_19_0_12693.jpg,1
3411,/home/tanuj/Workspace/power-grid-detection/dataset/raw/negative/278420_177485_19_81_2.jpg,0
3010,/home/tanuj/Workspace/power-grid-detection/dataset/raw/negative/274190_179918_19_23492_2.jpg,0
12019,/home/tanuj/Workspace/power-grid-detection/dataset/raw/positive/280857_176440_19_0_11044.jpg,1
10804,/home/tanuj/Workspace/power-grid-detection/dataset/raw/negative/274389_182700_19_5907_2.jpg,0
4923,/home/tanuj/Workspace/power-grid-detection/dataset/raw/negative/276448_176043_19_18386_0.jpg,0
4317,/home/tanuj/Workspace/power-grid-detection/dataset/raw/negative/278146_181217_19_17023_0.jpg,0
1431,/home/tanuj/Workspace/power-grid-detection/dataset/raw/positive/279283_177331_19_0_5515.jpg,1
6380,/home/tanuj/Workspace/power-grid-detection/dataset/raw/negative/278019_177958_19_4269_0.jpg,0
1132,/home/tanuj/Workspace/power-grid-detection/dataset/raw/negative/280191_174277_19_3329_1.jpg,0
7188,/home/tanuj/Workspace/power-grid-detection/dataset/raw/positive/278757_181763_19_0_15355.jpg,1
11744,/home/tanuj/Workspace/power-grid-detection/dataset/raw/negative/275356_174995_19_3319_2.jpg,0
12084,/home/tanuj/Workspace/power-grid-detection/dataset/raw/negative/271752_174879_19_14416_2.jpg,0
14743,/home/tanuj/Workspace/power-grid-detection/dataset/raw/negative/272539_179201_19_24385_2.jpg,0
5124,/home/tanuj/Workspace/power-grid-detection/dataset/raw/negative/278124_181628_19_4362_2.jpg,0
11123,/home/tanuj/Workspace/power-grid-detection/dataset/raw/negative/272746_175043_19_9245_1.jpg,0
7949,/home/tanuj/Workspace/power-grid-detection/dataset/raw/positive/276251_167799_19_0_3003.jpg,1
9578,/home/tanuj/Workspace/power-grid-detection/dataset/raw/positive/273893_178754_19_0_8133.jpg,1
